"New ID","Period of care end","Placement Type","Reason placement ended","Legal Statuses"
5333907,12/19/2016,"Q2","E43","11/11/06-16/01/09 V2; 16/01/09-26/11/09 C1; 26/11/09-19/12/16 C2"
5673159,01/16/2014,"R5","E8","04/08/08-04/03/09 C1; 04/03/09-16/01/14 C2"
5685938,05/02/2012,"Q1","E43","04/02/11-10/02/11 L2; 10/02/11-02/05/12 C1"
5707690,06/29/2012,"P1","E4","04/05/12-29/06/12 C1"
5815849,10/23/2015,"U6","E4B","12/03/15-13/03/15 L1; 13/03/15-23/10/15 V2"
5863084,08/06/2013,"Q2","E4","08/05/12-06/08/13 C1"
5921743,07/04/2013,"A6","E11","13/07/10-16/07/10 V2; 16/07/10-22/12/11 C1; 22/12/11-21/06/12 C2; 21/06/12-04/07/13 E1"
5955446,11/04/2014,"Q2","E8","02/11/01-30/04/02 V2; 30/04/02-04/11/14 V2"
6022854,01/09/2015,"R2","E4A","12/06/09-27/07/10 V4; 27/07/10-09/01/15 V2"
6088039,01/15/2016,"U6","E4B","06/01/16-08/01/16 L1; 08/01/16-15/01/16 V2"
6150872,12/26/2012,"Q1","E8","26/08/09-13/10/10 V2; 13/10/10-13/06/11 C1; 13/06/11-26/12/12 C2"
6282681,04/27/2012,"H5","E8","18/02/10-27/04/12 V2"
6466576,02/25/2015,"U3","E43","05/09/14-25/02/15 C1"
6480902,07/24/2012,"A3","E12","20/05/08-22/05/08 L1; 22/05/08-16/02/09 C1; 16/02/09-24/07/12 E1"
6691549,07/25/2015,"U6","E44","28/07/14-31/07/14 L1; 31/07/14-25/07/15 C1"
6838440,07/28/2015,"U6","E4B","15/06/15-16/06/15 L1; 16/06/15-28/07/15 V2"
6904370,12/11/2012,"Q2","E44","30/08/11-11/12/12 C1"
6934816,12/31/2016,"H5","E8","26/11/15-31/12/16 V2"
7021622,09/08/2014,"U6","E16","16/07/14-08/09/14 V2"
7238162,04/25/2014,"Q2","E4","06/08/13-25/04/14 C1"
7293760,05/12/2012,"Q1","E4","31/12/08-12/05/12 V2"
7502185,04/15/2015,"U6","E4A","17/09/14-08/10/14 V2; 08/10/14-15/04/15 C1"
7531226,02/11/2013,"Q2","E4","16/01/13-18/01/13 L1; 18/01/13-11/02/13 V2"
7531226,10/31/2013,"Q2","E4","18/03/13-31/10/13 V2"
7531226,04/03/2014,"Q2","E4A","25/11/13-03/04/14 V2"
7688550,03/19/2015,"U6","E44","28/11/13-26/02/14 V2; 26/02/14-02/07/14 C1; 02/07/14-19/03/15 C2"
7688591,07/13/2016,"H5","E8","27/10/14-13/07/16 V2"
7696192,11/19/2013,"Q2","E8","04/11/13-07/11/13 L1; 07/11/13-19/11/13 V2"
7766622,05/01/2014,"Q2","E43","15/11/12-03/12/13 V2; 03/12/13-01/05/14 C1"
7954295,03/19/2015,"A4","E11","13/03/13-07/06/13 V2; 07/06/13-05/12/13 C1; 05/12/13-19/03/15 E1"
8030360,11/13/2012,"Q2","E4","08/11/12-13/11/12 L1"
8037945,01/13/2013,"Q2","E4","12/02/11-14/02/11 L2; 14/02/11-13/01/13 V2"
8187894,02/17/2014,"Q1","E4","29/10/13-17/02/14 V2"
8187894,08/07/2015,"U6","E4A","21/04/14-03/10/14 V2; 03/10/14-06/10/14 L1; 06/10/14-08/10/14 L2; 08/10/14-23/05/15 C1; 23/05/15-07/08/15 V2"
8226627,01/01/2014,"Q2","E8","10/12/98-12/02/99 V2; 12/02/99-21/03/00 C1; 21/03/00-01/01/14 C2"
8228348,01/31/2014,"R3","E4","04/03/13-05/11/13 V2; 05/11/13-31/01/14 C1"
8272869,06/10/2016,"U6","E4A","19/01/15-21/01/15 L1; 21/01/15-10/06/16 V2"
8430962,12/31/2015,"U6","E4A","30/12/15-31/12/15 L1"
8514563,10/28/2015,"Q1","E43","31/12/09-14/01/10 V2; 14/01/10-20/10/11 C1; 20/10/11-28/10/15 C2"
8552085,04/24/2015,"U6","E4A","10/04/15-24/04/15 V2"
8589928,06/01/2014,"H5","E8","31/05/11-01/06/14 V2"
8699199,05/08/2012,"Q1","E43","05/04/11-08/05/12 C1"
8796915,08/30/2012,"H5","E8","15/10/08-30/08/12 V2"
